date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:03:32	36304/36304	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-right.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-right.html	(from https://inspirothemes.com/polo/index.html)
08:04:34	19113/19113	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:56%20GMT	https://inspirothemes.com/polo/menu-one-page.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-one-page.html	(from https://inspirothemes.com/polo/index.html)
08:04:34	47123/47123	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-hover-background.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-hover-background.html	(from https://inspirothemes.com/polo/index.html)
08:04:34	47111/47111	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-button.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-button.html	(from https://inspirothemes.com/polo/index.html)
08:04:34	35183/35183	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-social-icons.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-social-icons.html	(from https://inspirothemes.com/polo/index.html)
08:05:37	36376/36376	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-rounded-dropdown.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-rounded-dropdown.html	(from https://inspirothemes.com/polo/index.html)
08:05:37	34059/34059	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/page-title.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/page-title.html	(from https://inspirothemes.com/polo/index.html)
08:05:37	36281/36281	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/menu-onclick.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/menu-onclick.html	(from https://inspirothemes.com/polo/index.html)
08:05:37	35406/35406	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/page-title-image.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/page-title-image.html	(from https://inspirothemes.com/polo/index.html)
08:05:38	34184/34184	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/page-title-video.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/page-title-video.html	(from https://inspirothemes.com/polo/index.html)
